Shareholder,2020 (%),2021 (%),2022 (%),2023 (%),2024 (%)
Aberdeen Standard Asia Focus Plc,1.72,1.81,2.03,2.41,2.34
Asian Development Bank,0.0,0.0,4.7,4.7,4.34
Chemanex Plc,0.4,0.87,0.91,0.95,1.01
Cic Holdings Plc,0.0,0.0,0.0,2.55,5.7
Citigroup Global Markets Limited Agency Trading Prop Securities A/C,10.76,10.75,4.47,4.47,0.0
Edgbaston Asian Equity Trust,2.26,1.12,1.09,1.27,0.95
Employee'S Provident Fund,0.77,0.77,0.0,0.0,0.0
Employees Trust Fund Board,1.42,1.42,1.34,1.34,0.87
Emrevival Master Fund Lp,0.0,0.0,0.0,0.0,1.07
Fidelity Fund - Pacific,1.45,1.35,1.29,1.1,0.0
Hostplus Pooled Superannuation Trust,0.0,0.0,0.0,0.75,1.01
Hwic Asia Fund,2.98,2.97,8.61,8.61,19.42
Lf Ruffer Investment Funds: Lf Ruffer Pacific And Emerging Markets Fund,0.86,0.86,0.0,0.0,0.0
Melstacorp Plc,9.78,9.77,9.31,9.31,8.6
Mr K N J Balendra,0.83,0.83,0.0,0.79,0.73
Mr Kandiah Balendra,1.48,1.48,1.41,1.41,1.3
Mr R S Captain,2.71,2.69,0.0,0.0,0.0
Mr S E Captain,11.62,11.42,9.69,9.68,8.18
Mrs C S De Fonseka,1.04,1.28,1.26,1.27,1.17
Mrs S A J De Fonseka,1.0,1.15,1.1,1.1,1.02
Norges Bank Account 2,2.15,2.4,2.3,2.3,2.21
Paints And General Industries Limited,7.11,8.71,10.14,7.27,5.81
Polypak Secco Limited,0.0,0.0,0.0,1.08,2.11
Schroder Asian Growth Fund,1.0,0.78,0.0,0.0,0.0
Schroder International Selection Fund,3.22,3.22,3.03,3.21,2.96
Sri Lanka Insurance Corporation Limited - Life Fund,0.0,0.0,0.89,1.58,0.0
Sunsuper Superannuation Fund,0.0,0.0,0.0,0.84,0.87
