Shareholder,2020 (%),2021 (%),2022 (%),2023 (%),2024 (%)
aberdeen standard asia focus plc,1.72,1.81,2.03,2.41,2.34
asian development bank,,,4.7,4.7,4.34
chemanex plc,0.4,0.87,0.91,0.95,1.01
cic holdings plc,,,,2.55,5.7
citigroup global markets limited agency trading prop securities a/c,10.76,10.75,4.47,4.47,
edgbaston asian equity trust,2.26,1.12,1.09,1.27,0.95
employee's provident fund,0.77,0.77,,,
employees trust fund board,1.42,1.42,1.34,1.34,0.87
emrevival master fund lp,,,,,1.07
fidelity fund - pacific,1.45,1.35,1.29,1.1,
hostplus pooled superannuation trust,,,,0.75,1.01
hwic asia fund,2.98,2.97,8.61,8.61,19.42
lf ruffer investment funds: lf ruffer pacific and emerging markets fund,0.86,0.86,,,
melstacorp plc,9.78,9.77,9.31,9.31,8.6
mr k n j balendra,0.83,0.83,,0.79,0.73
mr kandiah balendra,1.48,1.48,1.41,1.41,1.3
mr r s captain,2.71,2.69,,,
mr s e captain,11.62,11.42,9.69,9.68,8.18
mrs c s de fonseka,1.04,1.28,1.26,1.27,1.17
mrs s a j de fonseka,1.0,1.15,1.1,1.1,1.02
norges bank account 2,2.15,2.4,2.3,2.3,2.21
paints and general industries limited,7.11,8.71,10.14,7.27,5.81
polypak secco limited,,,,1.08,2.11
schroder asian growth fund,1.0,0.78,,,
schroder international selection fund,3.22,3.22,3.03,3.21,2.96
sri lanka insurance corporation limited - life fund,,,0.89,1.58,
sunsuper superannuation fund,,,,0.84,0.87
